PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Index of Multiple Deprivation (IMD),Practice_code_weighted_tot_of_Income,Practice_code_weighted_tot_of_Employment,"Practice_code_weighted_tot_of_Education, Skills and Training",Practice_code_weighted_tot_of_Health Deprivation and Disability,Practice_code_weighted_tot_of_Crime,Practice_code_weighted_tot_of_Barriers to Housing and Services,Practice_code_weighted_tot_of_Living Environment
H81006,AUSTEN ROAD SURGERY,7017,27340,26576,26695,28090,28798,20821,20183,17888
H81007,THE DE SOUSA PRACTICE,10995,28037,26456,28239,27803,29053,24971,18216,18836
H81009,STUDHOLME MEDICAL CENTRE,15693,22791,21900,23516,14371,24924,17902,21430,17201
H81010,GUILDOWNS,24882,25177,25111,25774,22212,26501,20359,16997,18770
H81011,NORK CLINIC,7217,29143,27346,28683,26707,29736,23608,16891,25380
H81013,FRIMLEY GREEN MEDICAL CTR,27652,25256,23977,25297,17745,26461,23475,17606,25231
H81015,CHOBHAM & WEST END MEDICAL PRACTICE,11205,28424,27936,28379,25203,27737,24253,14116,28432
H81016,FAIRFIELD MEDICAL CENTRE,10403,29167,27753,26778,26965,29342,26755,19741,26034
H81017,ASHLEA MEDICAL PRACTICE,18997,26592,25883,25459,25719,26152,26553,16867,18705
H81019,SUNNY MEED SURGERY,9083,24472,22956,24385,22861,24678,20702,18071,20343
H81020,FORT HOUSE SURGERY,12050,26327,23840,26482,25577,27563,18787,23682,17640
H81021,THE MILL MEDICAL PRACTICE,15587,26785,25674,26167,24754,26997,22238,19077,25575
H81022,CHIDDINGFOLD SURGERY,4562,25807,26579,28468,25388,29673,25523,10785,15811
H81023,LINGFIELD SURGERY,10495,22914,23793,25371,19028,26462,13398,15125,21564
H81024,GOLDSWORTH PARK HEALTH CENTRE,12523,24503,22851,24238,22309,24331,21245,18628,20694
H81025,ST JOHN'S FAMILY PRACTICE,12296,26450,25555,26269,24166,25946,21047,18102,22778
H81026,BINSCOMBE MEDICAL CENTRE,10360,25148,23199,24225,21008,25597,22697,21080,25571
H81027,THE FERNS MEDICAL PRACTICE,10659,26524,24218,25049,25329,24975,23182,21081,25148
H81028,DORKING MEDICAL PRACTICE,9561,24918,24753,25781,23444,26854,23102,15336,16560
H81029,DAPDUNE HOUSE SURGERY,12133,23691,23100,23757,22652,25697,17979,20087,15450
H81030,GREYSTONE HOUSE SURGERY,12760,23338,21408,22196,22461,24661,19919,15933,20924
H81031,WITLEY SURGERY,10041,26665,26189,26848,23761,29065,22002,16385,24283
H81032,HEATHCOT MEDICAL PRACTICE,17845,25262,24092,25191,24364,25884,19987,17658,20142
H81033,ABBEY PRACTICE,11214,20011,20548,22869,17053,23696,18411,9286,14873
H81034,MADEIRA MEDICAL,8336,27755,27092,27992,23107,27527,24663,18888,21109
H81035,MERROW PARK SURGERY,10825,28643,26898,27245,27177,29506,24602,22320,22103
H81036,PARISHES BRIDGE MED.PRACT,11041,27197,26603,27549,22454,27018,24257,19024,20831
H81037,BIRCHWOOD MEDICAL PRACTICE,15205,21238,21757,22580,15609,24723,14577,15265,19450
H81038,LITTLETON SURGERY,4133,29492,29411,30002,28907,31226,22372,18037,20295
H81039,PARK HOUSE SURGERY,6793,25993,24428,25686,23424,26578,17523,18383,27290
H81040,STATION ROAD SURGERY,7452,27450,25330,26271,22278,27664,25441,20379,22989
H81041,SOUTHVIEW MEDICAL PRACTICE,9588,23759,22027,23708,22801,24637,19861,17928,19322
H81042,CROUCH OAK FAMILY PRACTICE,15908,22764,22054,23400,18481,24403,21273,14421,16144
H81043,WONERSH SURGERY,10564,28623,27131,27722,26754,29309,28415,17290,24666
H81044,SPRINGFIELD SURGERY,3890,27316,26258,25556,27607,28673,26345,18969,24763
H81045,CATERHAM VALLEY MED.PRACT,9051,24013,22812,22702,21008,24726,15685,19889,21904
H81046,WAYSIDE MEDICAL PRACTICE,3901,21327,22293,22871,15872,25092,14802,13647,19504
H81047,RUNNYMEDE MEDICAL PRACTICE,12139,25103,25456,27093,21964,27676,20811,11009,21698
H81048,HOLMHURST MEDICAL CENTRE,9662,24152,23370,23708,23433,25295,19757,13261,20870
H81050,WEY FAMILY PRACTICE,10040,27794,27118,27954,23478,27628,24459,18696,21411
H81051,DERBY MEDICAL CENTRE,13260,24485,23458,24611,25223,26041,19768,13901,17330
H81052,CRANLEIGH MEDICAL PRACTICE,15142,27651,26856,26496,23604,28389,28423,16364,25352
H81053,VILLAGES MEDICAL CTR,7726,25949,26167,27543,22512,28423,21616,14389,20829
H81054,BRIDGE PRACTICE,7832,20126,20482,22779,17231,23704,18542,9668,14866
H81055,HAWTHORNS SURGERY,8533,23177,21436,21975,21917,24612,19472,16365,21112
H81056,OXTED HEALTH CENTRE,16725,26137,25364,26556,24143,27244,18123,16557,23604
H81057,FORDBRIDGE MEDICAL CENTRE,6750,21806,20912,22564,14061,24282,17024,20343,17330
H81058,WOODLANDS ROAD MEDICAL CENTRE,11141,23322,21911,21887,21533,25428,18787,16287,20491
H81060,TOWNHILL MEDICAL PRACTICE,13449,24327,23425,22189,20879,23092,18255,19961,23335
H81061,HILLVIEW MEDICAL CENTRE,12484,24828,23576,25142,24241,25119,20544,17853,18672
H81062,HASLEMERE HEALTH CENTRE,18204,28345,25067,27000,26400,28564,28090,17659,25856
H81064,FAIRLANDS MEDICAL PRACTICE,12093,24594,24224,25157,21279,27583,22201,13757,22807
H81065,HERSHAM SURGERY,7968,24745,21201,24604,22576,25934,20914,21962,19815
H81066,GROVE MEDICAL CENTRE,13888,24158,25085,27353,20028,27236,23216,10056,15197
H81067,COBHAM HEALTH CENTRE,12841,25734,25826,26936,22033,28878,21721,14738,21929
H81068,BROCKWOOD MEDICAL PRACTICE,11686,24076,26169,26996,22363,28524,22946,8610,18405
H81069,PARK ROAD SURGERY,11765,26531,25728,25881,24337,27549,21803,14518,27799
H81070,HEATHCOTE MEDICAL CENTRE,12082,27808,27757,28478,25024,28484,24086,11310,26055
H81071,ASHLEY CENTRE SURGERY,9748,23840,22962,23893,23975,25631,19031,13885,17667
H81072,MEDWYN SURGERY,10370,25651,25547,26779,24705,27835,23563,15240,16289
H81073,CHURCH STREET PRACTICE,12855,28517,26985,28736,28726,29508,25202,18415,18861
H81074,ST STEPHENS HOUSE SURGERY,5594,29647,28416,27726,28535,28379,28857,21408,19915
H81075,UPPER GORDON ROAD SURGERY,11914,24910,23981,24034,22757,26344,19994,14694,27964
H81076,GRAYSHOTT SURGERY,12169,28430,26267,27008,23663,26996,28466,17509,27925
H81077,SHERE SURGERY/DISPENSARY,8029,25341,28146,29025,26393,31749,23536,7162,14829
H81078,GLENLYN MEDICAL CENTRE,15839,25328,22444,23594,22172,26549,20616,27626,16392
H81079,STAINES THAMESIDE MEDICAL,4196,22794,23254,25906,18465,26942,20751,10965,16133
H81080,LONGCROFT CLINIC,11703,27190,26637,27121,24888,28359,18136,14003,26431
H81081,TADWORTH MEDICAL CENTRE,9163,23818,22467,24007,19190,24682,22599,13466,26450
H81082,CAMBERLEY HEALTH CENTRE,9583,23167,21679,21894,18590,24427,20880,15804,25329
H81083,MOAT HOUSE SURGERY,10752,17753,17872,17440,15836,18290,11658,17659,19081
H81084,THE HORSLEY MEDICAL PRACTICE,9983,30423,29839,31055,30628,31987,27682,13387,25435
H81085,ST.LUKE'S SURGERY,10554,27065,26309,26489,29053,28657,20473,19393,16765
H81086,THORKHILL SURGERY,4690,30303,28213,29174,29272,30620,23729,25439,18272
H81087,ST DAVID'S FAMILY PRACTICE,11076,12458,13143,14530,6631,17047,8969,15883,14666
H81088,DOWNING STREET SURGERY,12675,27384,24976,25457,26350,26133,24441,21497,25610
H81089,WALL HOUSE,15683,27565,25964,27064,26610,28699,22678,17374,21519
H81090,WOODBRIDGE HILL SURGERY,11475,23786,22345,23460,19579,25646,18052,20575,20736
H81091,SPRING STREET SURGERY,6422,27056,25982,26653,23664,28327,19828,20536,19312
H81094,THE RED PRACTICE WALTON,8714,23952,21551,23975,22242,25747,17195,23471,18167
H81095,DR DM NGUYEN,4776,23509,21086,23423,21427,25407,17338,23284,18110
H81097,RIVER WEY MEDICAL PRACTICE,6608,26348,23946,24590,24186,25245,22573,21232,25782
H81099,ESHER GREEN SURGERY,8528,27814,27399,28127,26527,30310,22519,17292,19048
H81101,WHYTELEAFE SURGERY,5930,23928,21694,22084,20671,27109,16215,19007,22148
H81103,EASTWICK PARK MED.PRACT.,7216,29311,28188,27221,27446,29236,27669,19800,25680
H81104,STANWELL ROAD SURGERY,6957,21036,20774,22203,13929,23043,16482,18173,16729
H81107,OXSHOTT MEDICAL PRACTICE,6666,30316,30603,30505,28386,31883,23953,14937,24248
H81109,CAPELFIELD SURGERY,7730,30850,28001,28178,29843,30170,27936,24271,23441
H81110,HOLLY TREE SURGERY,5741,30151,29070,29401,29296,29932,29157,19572,27991
H81111,PACKERS,4546,30128,30274,30864,26992,31370,27983,14530,20280
H81113,LEITH HILL PRACTICE,7907,21817,24102,25339,21805,28468,22414,7702,15592
H81116,ELIZABETH HOUSE MEDICAL PRACTICE,5619,24683,23568,24508,18939,27112,15093,19504,23122
H81118,AURIOL MEDICAL PRACTICE,3126,25925,24476,25415,22752,28648,18610,19302,19037
H81119,WARLINGHAM GREEN MED PRAC,10809,23955,22716,22732,19965,24636,16623,18996,23207
H81122,HYTHE MEDICAL CENTRE SURGERY,4391,22736,22412,24879,17850,25716,19903,14742,14870
H81123,SHEERWATER HEALTH CENTRE,3181,14843,12054,13868,10892,15662,16977,19621,22283
H81125,GIGGS HILL SURGERY,8797,30833,29022,29783,30073,31086,23790,25291,18285
H81126,TATTENHAM HEALTH CENTRE,6216,27956,25648,26692,23608,28529,24567,18176,27105
H81128,VINE MEDICAL CENTRE,6183,26325,23328,24727,23780,27630,20422,28494,16010
H81129,PIRBRIGHT SURGERY,3607,29175,29817,31389,26413,30676,25535,14064,22031
H81130,LIGHTWATER SURGERY,11112,30816,30277,30345,28458,30717,27274,16126,29434
H81131,DR S MORCOS,3173,23703,21230,23768,21959,25490,17751,22841,18081
H81132,GUILDFORD RIVERS PRACTICE,4314,25750,24621,25151,25387,27449,20702,19691,19717
H81133,THE INTEGRATED CARE PARTNERSHIP,32525,26263,25184,25923,24270,27661,20488,17147,20009
H81134,STAINES HEALTH GROUP,11681,23904,22824,24628,19917,25771,19632,17541,16709
H81611,RIVERBANK SURGERY,1920,26946,25433,28209,22356,30270,24222,22118,16437
H81613,STONELEIGH SURGERY,2579,30327,28893,29417,25246,30719,24189,26209,21331
H81615,FARNHAM DENE MEDICAL PRACTICE,11913,28361,26963,27260,27794,27696,25704,18792,26582
H81618,MOLEBRIDGE PRACTICE,6578,24875,23971,23879,20863,24879,27498,16827,21198
H81620,HEATHERSIDE SURGERY,5376,31355,30410,31016,27676,31144,28708,20116,29826
H81622,OLD DEAN SURGERY,2188,14056,12544,14153,7733,16815,11273,18616,28973
H81632,THE ORCHARD SURGERY,2443,21729,20890,22575,12764,24699,18082,19796,17810
H81638,SMALLFIELD SURGERY,6288,20455,22608,22531,16535,25206,12915,12118,18630
H81641,THE PRACTICE COLLEGE ROAD,3383,16072,14390,16211,12658,17246,17327,14229,18630
H81642,UPPER HALLIFORD MEDICAL CENTRE,3021,20308,20596,22457,14161,23852,17075,14172,15653
H81643,MAYBURY SURGERY,2232,16172,14677,16435,12694,17300,17347,13496,18894
H81644,FOUNTAIN PRACTICE,8653,26409,25171,26102,22938,27840,19677,20012,19235
H81647,NEW INN SURGERY,2326,30703,29636,29284,30087,31260,26246,23112,18083
H81656,SHADBOLT PARK HOUSE SURG,7982,29401,26543,28646,25690,30481,23547,23957,20967
H81658,NEW OTTERSHAW SURGERY,5188,26003,25734,26638,22692,26084,24451,15875,20426
H81663,ASHLEY MEDICAL PRACTICE,3127,24930,22495,25015,23781,26475,17921,23777,17289
H81664,DR R J POOL,2156,25014,23308,24583,22724,25780,20818,17711,21789
H81667,SOUTH PARK SURGERY,4580,21011,18709,19936,15613,24297,17260,17924,24672
H81672,LANTERN SURGERY,4355,30224,28217,29590,29133,31105,24985,21478,20739
H82002,CHURCH VIEW SURGERY,7181,20851,20400,20660,17036,19931,18253,19365,16463
H82003,MEADOWS SURGERY,9607,26304,24717,24420,19724,27642,23007,20281,27474
H82004,COWFOLD SURGERY,4500,23748,26918,29251,24066,29277,26314,10847,9395
H82005,CUCKFIELD MEDICAL CENTRE,8217,25719,24932,26316,23325,29166,24562,12700,20966
H82006,THE PETWORTH SURGERY,6010,17424,22067,24866,18162,25803,25662,4898,6543
H82007,WESTCOURT MEDICAL CENTRE,11667,20986,19544,18667,15078,18843,23095,16836,25650
H82008,SHIP STREET SURGERY,11967,28185,27053,27988,22583,30994,24053,19089,23968
H82009,ST.LAWRENCE SURGERY,13889,21332,20193,19622,19171,17432,19042,28029,14922
H82010,JUDGES CLOSE SURGERY,7627,28189,26834,27961,22202,30837,24294,19113,24693
H82011,STRAND MEDICAL GROUP,13703,17732,16794,15385,13346,14460,18353,26131,19674
H82012,LEACROFT MEDICAL PRACTICE,9156,13622,13407,14668,9547,16475,10590,9437,26476
H82013,LANGLEY HOUSE SURGERY,11387,21855,21147,21433,21413,22786,22174,14187,18350
H82014,COPPICE SURGERY,9551,21592,20722,19842,16486,20953,19406,16318,25270
H82015,PHOENIX MEDICAL GROUP,6301,24288,24255,20664,21089,19670,22026,24821,21307
H82016,BERSTED GREEN SURGERY,12199,13983,13833,15268,7609,13213,15398,15621,21158
H82017,PARK SURGERY,23707,24731,24082,24309,24664,26167,23762,12126,24695
H82020,BOGNOR MEDICAL CENTRE,9152,9304,11222,11271,6439,8384,8734,13134,12064
H82021,ARUNDEL SURGERY,6423,20299,22700,23085,19332,21450,21377,9480,15606
H82022,STEYNING HEALTH CENTRE,11950,25608,24158,24887,22729,28585,25963,12558,21501
H82023,ADUR MEDICAL GROUP,7506,18998,18253,18220,15215,18300,16039,20208,16637
H82024,SEAL MEDICAL GROUP,5718,16981,15766,14735,10117,16611,20204,19150,25711
H82025,WOODLANDS&CLERKLANDS PARTNERSHIP,15210,19311,18802,19481,12614,22257,14550,16196,24267
H82026,SAXONBROOK MEDICAL CENTRE,15312,21912,21561,23196,17208,23088,19067,9948,27549
H82027,RUDGWICK MEDICAL CENTRE,3415,26385,27054,27899,26304,28881,28453,11278,15952
H82028,THE COURTYARD SURGERY,8374,25104,24108,24334,24910,26238,23401,13193,25037
H82029,THE MANOR PRACTICE,10118,16313,15901,15584,12190,16084,13238,20325,15896
H82030,PULBOROUGH MEDICAL GROUP,12977,23112,24374,25109,21967,27689,22702,9483,18514
H82031,LOXWOOD SURGERY,5418,24847,26660,28488,26168,28541,29859,9348,9627
H82032,RIVERBANK MEDICAL CENTRE,12169,21863,22496,24533,21656,26509,26668,9315,15411
H82033,GOSSOPS GREEN MEDICAL CTR,6695,15403,14651,16410,8764,18864,11548,11527,29531
H82034,LIME TREE SURGERY,13335,24399,23266,22313,19964,19965,24115,24391,21118
H82035,LINDFIELD MEDICAL CENTRE,11171,28557,27422,27563,25924,30564,24753,18790,23820
H82036,ORCHARD SURGERY,9658,24861,23933,24046,24524,26105,23654,13100,24701
H82037,SELSEY MEDICAL PRACTICE,6529,17108,15904,14793,10101,16679,20192,19347,25867
H82038,FLANSHAM PARK HEALTH CENTRE,12837,23148,20642,19018,18076,20290,24023,19213,28741
H82039,PARK SURGERY,7557,14451,14533,14077,9688,14623,14388,14770,19303
H82040,CRAWLEY DOWN HEALTH CENTRE,8102,28317,28255,29015,24108,31027,24153,15877,23554
H82041,VICTORIA ROAD SURGERY,12210,14544,14512,14083,13861,12201,14586,27282,10568
H82042,CATHEDRAL MEDICAL GROUP,12804,19645,18472,19090,18082,20676,19874,15375,18885
H82043,GROVE HOUSE SURGERY,11819,21826,20974,19795,13831,18002,27278,16652,29100
H82044,DOLPHINS PRACTICE,12062,27398,25115,26626,24193,28619,24859,16605,24981
H82045,WORTHING MEDICAL GROUP,14764,13235,14191,13258,15164,11007,12530,26574,7443
H82046,BROADWATER MEDICAL CENTRE,11919,19949,19291,19823,15373,17927,20731,27784,11668
H82047,BRIDGE MEDICAL CENTRE,10970,20489,19752,21833,15564,22625,16078,11399,24982
H82048,AVISFORD MEDICAL GROUP,10001,20663,18883,18194,16545,17776,24322,16583,25436
H82049,PARKLANDS SURGERY,9834,21513,20257,20353,20577,21770,22633,15848,19947
H82050,IFIELD MEDICAL PRACTICE,9955,14771,14753,16193,10080,17707,11856,10110,27040
H82051,LAVANT ROAD SURGERY,12188,21877,21639,21456,20675,23240,22988,13927,18822
H82052,POUND HILL MEDICAL GROUP,15305,25619,25425,26369,20522,27092,20103,12326,26360
H82053,FURNACE GREEN SURGERY,6925,20261,18571,19075,14153,20769,16244,16751,28590
H82055,BILLINGSHURST SURGERY,12642,22235,23643,24409,22508,27175,24686,6707,17322
H82056,NEWTONS PRACTICE,13612,27348,25272,26421,24374,28957,24008,17689,23420
H82057,MID SUSSEX HEALTH CARE,19118,26869,26860,27525,24588,30017,23257,13513,22843
H82058,MAYWOOD HEALTH CARE CENTRE,13165,13820,14012,13988,9487,11867,14607,15886,19698
H82059,WILLOW GREEN SURGERY,8894,21232,20122,18742,15832,18971,21723,18181,26932
H82060,HENFIELD MEDICAL CENTRE,9675,24348,24489,25951,22761,27943,24857,11412,18918
H82061,SELDEN MEDICAL CENTRE,8823,12734,12975,12492,12468,10170,17270,27021,6793
H82063,MOATFIELD SURGERY,13540,27747,26312,27588,21895,30513,23315,19447,24647
H82064,SOUTHGATE MEDICAL GROUP,9247,15095,14709,15874,11539,16464,9928,11836,26395
H82065,BALL TREE SURGERY,8463,16326,17128,16240,8212,15443,21438,17224,17221
H82066,FITZALAN MEDICAL GROUP,14144,11791,12145,11761,8229,12295,12372,14075,16848
H82067,TANGMERE MEDICAL CENTRE,4319,19289,16915,18429,15790,20275,23245,18442,22443
H82069,ARUN MEDICAL GROUP,7050,13964,13898,13500,10111,13619,14243,15294,18652
H82070,GLEBE SURGERY,11268,24234,25441,24978,19728,28107,25268,10732,23963
H82072,SILVERDALE PRACTICE,11330,27090,25113,25140,22125,28102,22978,19788,26626
H82076,CORNERWAYS SURGERY,3788,22785,21686,20569,22478,18877,18393,28309,14343
H82077,THE CROFT SURGERY,11043,22306,20719,21570,18206,19481,24824,15713,22424
H82078,SOUTHBOURNE SURGERY,9328,24982,22618,23610,22850,25119,25814,17083,21309
H82083,NORTHBOURNE MEDICAL CENTRE,10453,19411,18648,18551,15682,17829,16396,21237,17396
H82084,BROW MEDICAL CENTRE,6320,25884,24093,23690,20753,26656,21890,21011,25486
H82086,HIGHDOWN SURGERY,2372,20370,19570,18448,17315,17047,19505,26079,16937
H82087,BARN SURGERY,3995,26403,25885,21471,17904,21296,28356,22136,29317
H82088,BEWBUSH MEDICAL CENTRE,7355,12378,11617,13779,6706,17314,10090,9008,29553
H82089,RIVERSIDE SURGERY,7582,24759,23784,23934,24323,26078,23492,12796,25525
H82091,NEW POND ROW SURGERY,7224,15551,15696,16109,8030,14762,21476,18771,14425
H82092,VILLAGE SURGERY,7976,27525,27177,28121,24967,28918,28476,12445,24995
H82094,KINGFISHER FAMILY PRACTICE,5510,15786,16128,15742,8255,15086,19954,20605,14926
H82095,WITTERINGS MEDICAL CENTRE,9962,20803,19297,19895,14780,23690,26336,15212,19615
H82096,THE ORCHARD SURGERY,6938,14788,15031,14873,7452,14255,19851,19750,14403
H82098,COACHMANS MEDICAL PRACTICE,10118,10848,10786,13448,5884,16460,9646,5462,27025
H82099,WEST MEADS SURGERY,7449,16389,16375,15984,10432,14310,17283,16526,22808
H82100,NORTHLANDS WOOD SURGERY,6342,26951,24597,25392,22604,28944,23932,18874,26145
H82101,HEENE ROAD SURGERY,5768,15531,15751,14763,18337,12361,14760,27202,8580
H82615,OUSE VALLEY PRACTICE,6546,22107,24892,26401,21094,29831,19840,6976,13097
H82621,PARK VIEW HEALTH PARTNERSHIP,5532,25082,23193,22314,19191,26346,20863,22481,25869
H82640,HOLBROOK SURGERY,14922,26185,25624,25444,25002,27033,25690,14884,26931
H82641,THE LAWNS SURGERY,2025,17959,17566,15890,14066,16140,18711,16529,22168
H82643,THE MAYFLOWER SURGERY,6034,15924,14427,13702,10941,13257,18414,26272,20140
H83001,PORTLAND MEDICAL CENTRE,12273,9881,8918,11038,17112,14962,5646,6875,10063
H83002,HEATHFIELD SURGERY,2802,10621,11973,15077,16937,14379,5127,5787,7372
H83004,THE FARLEY ROAD MEDICAL PRACTICE,11273,21968,22922,23167,22113,24311,14737,9670,21314
H83005,UPPER NORWOOD GROUP PRACTICE,11613,11406,10755,13293,21238,17740,5540,6104,9160
H83006,PARKWAY HEALTH CENTRE (02),5537,6615,6018,8177,5205,10059,8037,4311,20118
H83007,VIOLET LANE MEDICAL PRACTICE,10366,10019,10187,12571,16111,14015,5595,4772,10903
H83008,THE ADDISCOMBE SURGERY,2843,17110,15744,17649,20634,20215,10856,10571,15478
H83009,NORBURY HEALTH CENTRE (02),10796,12735,11933,14611,19911,20279,5120,7356,11253
H83010,SOUTH NORWOOD HILL MEDICAL CENTRE,6313,10021,9284,11302,19511,17150,4562,5902,9001
H83011,NORTH CROYDON MEDICAL CENTRE,4150,7544,7764,10224,14823,12174,3820,3907,8298
H83012,ST.JAMES'S MEDICAL CENTRE,9607,7231,7097,9048,11535,10311,6633,4479,13852
H83013,OLD COULSDON MEDICAL PRACTICE,12815,21900,21969,22640,21536,24678,14667,9818,23280
H83014,QUEENHILL MEDICAL PRACTICE,7291,23203,23752,23851,22963,24829,16776,10461,21826
H83015,PARKSIDE GROUP PRACTICE,12906,19716,20022,22002,25168,22765,12299,8011,14407
H83016,KESTON MEDICAL PRACTICE,13725,19143,19769,20388,25081,22085,10941,7540,18444
H83017,BRIGSTOCK MEDICAL PRACTICE,11996,9779,8853,11220,16990,15700,4792,5921,10355
H83018,SELSDON PARK MEDICAL PRACTICE,11146,21648,21971,22190,21094,23523,16115,10423,21002
H83019,FRIENDS ROAD MEDICAL PRACTICE,7902,12178,13381,15661,19955,15784,7189,5302,8473
H83020,EVERSLEY MEDICAL CENTRE,10707,8109,8306,10885,14948,12896,3867,4189,8663
H83021,LONDON ROAD MEDICAL PRACTICE,5621,9188,9277,11686,15950,14318,4244,4854,9512
H83022,THORNTON HEATH HEALTH CENTRE,7003,8286,7449,9380,15341,14888,3940,5579,9059
H83023,MORLAND ROAD SURGERY,6988,12779,11632,14803,19224,15519,9141,8629,9324
H83024,WOODCOTE MEDICAL,14924,21719,22368,22612,25506,23842,12361,9166,21112
H83025,WOODSIDE GROUP PRACTICE,12709,10193,9092,11105,16764,15028,6254,7112,11004
H83027,PARKWAY HEALTH CENTRE (01),6480,7094,6576,8675,5973,10455,7973,4623,19582
H83028,PARKWAY HEALTH CENTRE (03),3315,9880,10285,12059,9572,13944,7824,5094,19771
H83029,HARTLAND WAY SURGERY,4186,24922,23112,24733,22154,26058,18340,14623,20686
H83030,SPRING PARK MEDICAL PRACTICE,3185,9807,7920,9943,11270,16178,11061,5793,19518
H83031,THE HALING PARK PARTNERSHIP,3247,13947,14174,16650,19566,17927,8715,6824,10797
H83033,ASHBURTON PARK MEDICAL CENTRE,2925,10927,10292,11405,13870,13794,9010,6950,14208
H83034,THE WHITEHORSE PRACTICE,7886,6071,6024,7855,13192,9804,3412,3770,7939
H83035,SOUTH WAY SURGERY,3718,25792,25067,24993,23743,26456,17031,17640,21638
H83037,AUCKLAND SURGERY,6577,12120,11093,14174,21133,19562,5173,6814,9118
H83039,STOVELL HOUSE SURGERY,7052,17686,16950,18611,22034,19936,10870,11514,12485
H83040,MITCHLEY AVENUE SURGERY,3599,26356,25916,25540,26899,26434,19817,12776,21799
H83041,SOUTH NORWOOD MEDICAL CENTRE,4782,8114,7691,9454,16354,14702,3680,5426,8043
H83042,LEANDER ROAD PRIMARY CARE CENTRE,7072,12311,11564,13973,18985,19566,4868,7003,11622
H83043,SHIRLEY MEDICAL CENTRE,4254,19344,18114,19999,18713,21752,14776,10456,18534
H83044,EAST CROYDON MEDICAL CENTRE,13062,16225,17496,19958,23823,19577,10483,6016,9431
H83046,FIELDWAY MEDICAL CENTRE,3465,5055,4436,6686,4632,8020,4672,4404,21844
H83048,DOWNLAND SURGERY,1547,19844,19836,21503,20236,24798,13795,7713,21527
H83049,HEADLEY DRIVE SURGERY,2532,4940,4272,6010,3653,8182,7055,5023,19610
H83050,THE MOORINGS MEDICAL PRACTICE,5911,20202,21141,21899,22494,22992,15748,5519,19378
H83051,THORNTON ROAD SURGERY,6967,9609,9537,12333,15806,15756,4076,5036,9528
H83052,BRAMLEY AVENUE SURGERY,2459,21518,20458,20465,22498,23657,13893,15358,23275
H83053,PARCHMORE MEDICAL CENTRE,14313,9599,8646,10436,15748,15924,5397,6486,10149
H83608,BRIGSTOCK FAMILY PRACTICE,4129,9506,8640,11040,16713,15381,4813,5696,10048
H83609,MERSHAM MEDICAL CENTRE,2959,10893,9446,11578,17059,17534,7184,6813,10994
H83611,SELHURST MEDICAL PRACTICE,2538,6966,6166,8061,13967,11153,4539,4481,8753
H83620,COULSDON MEDICAL PRACTICE,3590,20642,20550,20947,22956,23652,13061,10850,21185
H83622,SOUTH NORWOOD MEDICAL PRACTICE,2061,7957,7647,9483,17544,13635,3737,4859,7667
H83623,SOUTH CROYDON MEDICAL CENTRE,2575,14538,14728,17526,20959,18758,8491,6941,10531
H83624,FAIRVIEW MEDICAL CENTRE,7015,12191,11674,14756,19150,19132,5122,7446,9764
H83625,BROUGHTON CORNER MEDICAL CENTRE,4160,10577,10264,12712,16604,16762,4481,6008,10606
H83626,THE ENMORE PRACTICE,2221,10503,9485,11554,16677,15234,6572,7130,11446
H83627,BIRDHURST MEDICAL PRACTICE,6226,16089,17499,19306,22643,18791,9622,6164,11062
H83631,GREENSIDE MEDICAL PRACTICE,8836,6942,7877,10248,14279,11685,2441,3258,7381
H83634,VALLEY PARK SURGERY,1476,7968,8081,11407,13754,14019,3651,2599,12989
H84002,BROCKBANK (PARK ROAD),12808,26971,25837,27526,31415,29846,18951,17767,11607
H84005,BATES (PARKSHOT MEDICAL PRACTICE),10933,24538,24488,26551,29298,29953,15275,16926,8200
H84006,JEZIERSKI (SHEEN LANE),8807,24473,23482,25894,29415,28583,15141,18553,10143
H84007,JACKSON (ACORN),8184,25963,26161,27644,30346,30067,15773,18930,8864
H84010,CANBURY MEDICAL CENTRE,9756,24123,22256,25669,28042,27187,18380,17048,11066
H84012,THOMAS (YORK),11356,26701,27276,28545,30751,30655,17533,17399,9523
H84014,LEE (PARADISE ROAD),2929,25210,26604,28256,30445,30435,16063,16959,7321
H84015,BRUNSWICK SURGERY,7050,24516,23585,26034,26240,27868,20598,16018,11368
H84016,THE GROVES MEDICAL CENTRE,15756,24408,22040,25448,27924,28857,18833,15641,12580
H84017,HUDSON (SEYMOUR HOUSE),13644,22475,21378,22910,27004,28496,15800,14955,10780
H84018,BHATIA (BROAD LANE),4431,22231,21158,22505,25642,26499,13026,15104,15049
H84020,FAIRHILL MEDICAL PRACTICE,21176,21740,20913,26398,26249,27589,16620,10351,9271
H84023,FLOOD (ESSEX HOUSE),8795,24084,23683,25792,28353,28997,12186,19815,9443
H84025,HOOK SURGERY,5876,21675,19174,22380,17723,26630,18018,14521,16914
H84027,CHURCHILL MEDICAL CENTRE,17026,22833,21319,25229,26591,27092,17854,14935,10113
H84030,CENTRAL SURGERY,12536,25075,24262,26465,26922,28333,21045,16229,11515
H84031,JUBILEE SURGERY,5339,22528,21136,22951,24459,28013,13881,15858,11769
H84032,O'FLYNN (HAMPTON WICK),9333,24340,23364,25163,30285,28843,14383,15632,11205
